Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
,,,,,1195000,,,
Suzuki,Used,Petrol,100000,Cultus VXR,380000,Karachi,Cash,2003
Suzuki,Used,Petrol,50000,Cultus VXR,600000,Karachi,Cash,2008
Toyota,Used,Diesel,26000,Hilux,4450000,,Cash,2017
Toyota,Used,Petrol,85000,Corolla GLI,1500000,Karachi,Cash,2013
Daihatsu,Used,Hybrid,1004546,Charade,200000,Karachi,Cash,1986
,,,,,1150000,,,
Mitsubishi,Used,Petrol,127000,Ek Wagon,850000,Karachi,Cash,2016
,,,,,1650000,,,
Suzuki,Used,CNG,76840,Mehran VX,240000,Karachi,Cash,1998
Daihatsu,New,Petrol,35000,Mira,1155000,Karachi,Cash,2013
,,,,,440000,,,
Suzuki,Used,CNG,1234,Cultus VXR,450000,Karachi,Cash,2006
Toyota,New,CNG,400000,Other,360000,Karachi,Cash,1986
Daihatsu,Used,CNG,20000,Atrai Wagon,200000,Karachi,Cash,1993
Suzuki,Used,Petrol,100000,Cultus VXR,440000,Karachi,Cash,2001
Suzuki,Used,Petrol,136000,Liana,535000,Karachi,Cash,2007
Honda,Used,CNG,1111,Other,190000,Karachi,Cash,1988
Toyota,Used,Petrol,85000,Aqua,1615000,Karachi,Cash,2012
Suzuki,Used,CNG,50000,Mehran VX,225000,Karachi,Cash,2004
Toyota,Used,Petrol,86000,Rush,1530000,Karachi,Cash,2006
Suzuki,Used,Petrol,80000,Baleno,385000,Karachi,Cash,1999
Daihatsu,Used,Petrol,70000,Mira,1045000,Karachi,Cash,2012
Toyota,New,CNG,68000,Corolla XLI,1280000,Karachi,Cash,2012
Daihatsu,Used,Petrol,73000,Mira,1085000,Karachi,Cash,2013
Toyota,Used,CNG,200000,Corolla XE,670000,Karachi,Cash,1997
Honda,Used,CNG,190000,Civic EXi,360000,Karachi,Cash,1995
Toyota,Used,CNG,75000,Corolla GLI,640000,Karachi,Cash,1994
Suzuki,Used,Petrol,100000,FX,81000,Karachi,Cash,1983
Honda,Used,Petrol,130,City IDSI,790000,Karachi,Cash,2005
,,,,,400000,,,
Suzuki,Used,Petrol,73000,Swift,1100000,Karachi,Cash,2012
,,,,,1800000,,,
Suzuki,New,CNG,129000,Alto,550000,Karachi,Cash,2010
,,,,,135000,,,
,,,,,710000,,,
Honda,Used,Petrol,111111,Other,230000,Karachi,Cash,1986
Suzuki,Used,Hybrid,33222,Mehran VX,290000,Karachi,Cash,2005
Daihatsu,Used,Petrol,75000,Esse,715000,Karachi,Cash,2007
Suzuki,Used,Petrol,80000,Every,1215000,Karachi,Cash,2014
Suzuki,Used,CNG,98000,Alto,500000,Karachi,Cash,2008
Mitsubishi,Used,Petrol,60000,Mirage,1100000,Karachi,Cash,2012
Toyota,New,Petrol,10500,Land Cruiser,27500000,,Cash,2016
Daihatsu,Used,Petrol,1000,Cuore,500000,Karachi,Cash,2007
Toyota,Used,Petrol,92000,Corolla GLI,1045000,Karachi,Cash,2007
Daewoo,Used,CNG,100000,Racer,160000,Karachi,Cash,1993
Toyota,Used,Diesel,6845,Other,2300000,Karachi,Cash,1998
Suzuki,Used,Petrol,41256,Swift,1275000,Karachi,Cash,2014
Suzuki,New,CNG,2000000,Alto,530000,Karachi,Cash,2004
Suzuki,New,Petrol,35000,Wagon R,1100000,Karachi,Cash,2016
Toyota,Used,Petrol,120000,Corolla XLI,1300000,Karachi,Cash,2012
Honda,Used,Petrol,129000,Accord,900000,Karachi,Cash,2001
Suzuki,Used,CNG,1,Cultus VXR,490000,Karachi,Cash,2005
Suzuki,Used,CNG,69995,Mehran VX,290000,Karachi,Cash,2005
Suzuki,Used,Petrol,80000,Mehran VXR,195000,Karachi,Cash,1997
Suzuki,Used,CNG,100000,Cultus VXR,530000,Karachi,Cash,2006
Lexus,Used,Petrol,88000,RX Series,2675000,Karachi,Cash,2003
Honda,Used,Petrol,83000,Civic VTi Oriel Prosmatec,920000,Karachi,Cash,2005
Daewoo,Used,CNG,100000,Racer,160000,Karachi,Cash,1992
Suzuki,Used,CNG,50200,Alto,670000,Karachi,Cash,2011
Other Brands,Used,Diesel,245000,Other,875000,Islamabad,Cash,1992
Suzuki,Used,CNG,12345,Cultus VXL,465000,Karachi,Cash,2004
Toyota,New,Petrol,44000,Vitz,1700000,,Cash,2015
Suzuki,New,CNG,123463,Khyber,140000,Karachi,Cash,1990
Suzuki,Used,Petrol,10000,Alto,330000,Karachi,Cash,2001
Suzuki,New,Petrol,1,Baleno,450000,Karachi,Installment/Leasing,2018
Honda,Used,Petrol,130,City IDSI,790000,Karachi,Cash,2005
Suzuki,Used,CNG,5,FX,115000,Karachi,Cash,1987
Daihatsu,Used,Petrol,41000,Charade,200000,Karachi,Installment/Leasing,2000
Toyota,New,Petrol,4500,Corolla GLI,2180000,Karachi,Cash,2017
Toyota,Used,Petrol,88000,Harrier,2675000,Karachi,Cash,2003
Daihatsu,Used,Petrol,1018500,Mira,750000,Karachi,Cash,2007
Honda,Used,Petrol,194000,City Aspire,130000,Karachi,Cash,1984
Honda,Used,Petrol,13000,Civic VTi Oriel Prosmatec,3125000,Karachi,Cash,2016
Mercedes,New,Petrol,71700,E Class,2035000,Karachi,Cash,2005
Suzuki,Used,Petrol,56858,Alto,520000,Karachi,Cash,2008
Suzuki,Used,CNG,60000,Bolan,560000,Karachi,Cash,2011
Honda,Used,Petrol,70000,City IVTEC,1420000,Karachi,Cash,2013
Suzuki,Used,CNG,8888,Alto,405000,Karachi,Cash,2003
Toyota,New,Petrol,4500,Corolla GLI,2180000,Karachi,Cash,2017
Toyota,Used,Petrol,88000,Harrier,2675000,Karachi,Cash,2003
Daihatsu,Used,Petrol,1018500,Mira,750000,Karachi,Cash,2007
Honda,Used,Petrol,194000,City Aspire,130000,Karachi,Cash,1984
Honda,Used,Petrol,13000,Civic VTi Oriel Prosmatec,3125000,Karachi,Cash,2016
Mercedes,New,Petrol,71700,E Class,2035000,Karachi,Cash,2005
Suzuki,Used,Petrol,56858,Alto,520000,Karachi,Cash,2008
Suzuki,Used,CNG,60000,Bolan,560000,Karachi,Cash,2011
Honda,Used,Petrol,70000,City IVTEC,1420000,Karachi,Cash,2013
Suzuki,Used,CNG,8888,Alto,405000,Karachi,Cash,2003
Daihatsu,Used,Petrol,80100,Move,900000,Karachi,Cash,2011
Daihatsu,Used,CNG,120000,Charade,140000,Karachi,Cash,1988
,,,,,2350000,,,
Suzuki,Used,CNG,90000,Cultus VXL,570000,Karachi,Cash,2006
Suzuki,Used,CNG,1,Alto,360000,Karachi,Cash,2001
Toyota,Used,Petrol,87236,Vitz,1075000,Karachi,Cash,2009
Suzuki,Used,CNG,125000,Alto,380000,Karachi,Cash,2006
Honda,Used,CNG,100000,Civic EXi,440000,Karachi,Cash,1995
Suzuki,Used,CNG,81855,Mehran VXR,300000,Karachi,Cash,2000
Toyota,Used,Hybrid,23000,Sienta,2400000,,Cash,2016
Suzuki,Used,CNG,67000,Mehran VXR,320000,Karachi,Cash,2004
Suzuki,Used,Petrol,61000,Liana,850000,Karachi,Cash,2012
Toyota,Used,Petrol,97000,Prius,1400000,Karachi,Cash,2010
Suzuki,Used,CNG,50000,Alto,150000,Karachi,Cash,1993
BMW,Used,Petrol,35000,Other,3500000,Karachi,Cash,2010
Toyota,New,Hybrid,200000,Wish,250000,Karachi,Cash,1974
Toyota,Used,Petrol,80000,Corolla GLI,1600000,Karachi,Cash,2013
Daihatsu,Used,CNG,100000,Charade,140000,Karachi,Cash,1984
Suzuki,Used,Petrol,2222222,Cultus VXL,640000,Karachi,Cash,2008
Suzuki,Used,Petrol,60000,Cultus VXR,580000,Karachi,Cash,2008
Toyota,Used,Petrol,100000,Corolla GLI,675000,Karachi,Cash,1995
Toyota,Used,CNG,75000,Corolla XLI,1500000,Karachi,Cash,2013
,,,,,575000,,,
Honda,New,Petrol,82000,Civic VTi Oriel Prosmatec,1250000,Karachi,Cash,2009
Toyota,Used,Petrol,55000,Corolla GLI,1870000,Karachi,Cash,2014
,,,,,780000,,,
Suzuki,Used,CNG,1,FX,85000,Karachi,Cash,1986
Honda,Used,Petrol,144000,Civic VTi Oriel,780000,Karachi,Cash,2003
Suzuki,Used,Petrol,20000,Mehran VX,720000,Karachi,Cash,2017
Toyota,Used,Petrol,36000,Corolla GLI,2050000,Karachi,Cash,2016
,,,,,980000,,,
Toyota,New,Petrol,72000,Rush,2550000,,Cash,2013
Suzuki,Used,CNG,3600,Bolan,750000,Karachi,Cash,2016
Suzuki,Used,Petrol,1800,Alto,480000,Karachi,Cash,2007
Toyota,New,Petrol,50000,Prado,8300000,,Cash,2013
Honda,Used,Hybrid,109000,Civic Hybrid,1480000,Karachi,Cash,2010
Hyundai,Used,Petrol,68000,Santro,350000,Karachi,Cash,2001
Honda,Used,Petrol,105000,Freed,1950000,Karachi,Cash,2013
Suzuki,Used,Petrol,340000,Alto,520000,Karachi,Cash,2007
Honda,Used,Petrol,1,Other,550000,Karachi,Cash,2002
Suzuki,Used,Petrol,21900,Cultus VXL,1060000,Karachi,Cash,2016
Hyundai,Used,Petrol,160000,Santro,395000,Karachi,Cash,2004
Daihatsu,Used,CNG,90000,Cuore,425000,,Cash,2001
Toyota,Used,Petrol,74000,Passo,1230000,Karachi,Cash,2012
Suzuki,Used,CNG,1,Bolan,440000,Karachi,Cash,2006
Toyota,Used,Diesel,103000,Corolla 2.0 D,1225000,Karachi,Cash,2010
Suzuki,Used,Petrol,65000,Cultus VXL,620000,Karachi,Cash,2007
Toyota,Used,Petrol,13000,Passo,1250000,Karachi,Cash,2013
Suzuki,New,Petrol,129900,Every,1000000,,Cash,2013
Nissan,Used,Diesel,1,Sunny,435000,Karachi,Cash,2000
Honda,New,Petrol,4000,Civic Prosmetic,2675000,Karachi,Cash,2017
Daihatsu,New,Petrol,71000,Hijet,870000,Karachi,Cash,2012
Suzuki,Used,CNG,456789,Mehran VX,115000,Karachi,Cash,1989
Suzuki,Used,CNG,14,Mehran VX,122000,Karachi,Cash,1993
Nissan,Used,Petrol,44000,Dayz Highway Star,1350000,,Cash,2015
Honda,Used,Hybrid,125000,Civic Hybrid,1310000,Karachi,Cash,2013
KIA,Used,CNG,124,Pride,125000,Karachi,Cash,1996
,,,,,750000,,,
Suzuki,Used,CNG,19000,Mehran VXR,386000,Karachi,Cash,2007
Daihatsu,New,Petrol,39623,Hijet,850000,Karachi,Cash,2013
Mitsubishi,Used,,,,180000,,,
Honda,Used,Petrol,2844,Civic VTi,780000,,Cash,2002
Toyota,Used,CNG,150,Corolla XE,899999,Karachi,Cash,2005
Suzuki,Used,CNG,50000,Bolan,360000,Karachi,Cash,1998
Toyota,Used,Petrol,85,Passo,915000,Karachi,Cash,2009
Honda,New,Hybrid,36000,Grace Hybrid,2550000,Karachi,Cash,2018
Daihatsu,New,Petrol,28000,Move,1000000,,Cash,2011
Suzuki,Used,Petrol,26000,Cultus VXR,520000,Karachi,Cash,2007
Suzuki,Used,Petrol,30000,Every,450000,Karachi,Cash,2002
Suzuki,Used,CNG,135000,Alto,500000,Karachi,Cash,2008
Suzuki,Used,CNG,61238,Mehran VX,160000,Karachi,Cash,1990
Toyota,Used,Petrol,47000,Corolla GLI,1700000,Karachi,Cash,2015
Suzuki,Used,CNG,100000,Khyber,230000,Karachi,Cash,1997
Toyota,Used,Hybrid,75000,Aqua,2150000,Karachi,Cash,2015
Suzuki,Used,CNG,50000,Mehran VXR,370000,,Cash,2006
Suzuki,New,Petrol,127000,Every Wagon,1065000,Karachi,Cash,2010
Suzuki,Used,Petrol,50000,Alto,950000,Karachi,Cash,2013
Suzuki,New,Petrol,6000,Cultus VXL,1625000,Karachi,Cash,2018
Suzuki,Used,CNG,500000,Baleno,450000,Karachi,Cash,2003
Toyota,Used,CNG,94200,Corolla GLI,1265000,Karachi,Cash,2009
Toyota,Used,CNG,100000,Corolla XLI,900000,Karachi,Cash,2004
Toyota,Used,CNG,186000,Corolla XLI,1200000,Karachi,Cash,2010
,,,,,965000,,,
Suzuki,Used,Petrol,30000,Spacia,1040000,Karachi,Cash,2014
Suzuki,Used,Petrol,100,Cultus VXR,550000,Karachi,Cash,2006
Suzuki,Used,CNG,46000,Cultus VXR,735000,Karachi,Cash,2010
Suzuki,Used,CNG,62000,Alto,540000,Karachi,Cash,2010
Suzuki,Used,Petrol,1000,Bolan,445000,Karachi,Cash,2016
Suzuki,Used,CNG,100000,FX,110000,,Cash,1987
,,,,,460000,,,
Suzuki,New,CNG,55000,Bolan,575000,Karachi,Cash,2009
Toyota,Used,Petrol,1,Starlet,65000,Karachi,Cash,1973
Daihatsu,Used,CNG,123,Other,150000,Karachi,Cash,1985
Suzuki,Used,Petrol,1000,Mehran VX,285000,Karachi,Cash,2005
,,,,,335000,,,
Toyota,New,Hybrid,27000,Prius,2750000,Karachi,Cash,2018
Suzuki,Used,Petrol,32,Wagon R,270000,Karachi,Cash,1998
Daihatsu,Used,Petrol,58000,Mira,1140000,Karachi,Cash,2014
Daihatsu,Used,Petrol,75000,Cuore,760000,Karachi,Cash,2009
Suzuki,Used,CNG,68000,Bolan,375000,Karachi,Cash,2006
Suzuki,Used,CNG,1,Cultus VXL,600000,Karachi,Cash,2007
Suzuki,Used,Petrol,43000,Mehran VXR,460000,Karachi,Cash,2012
Daihatsu,Used,CNG,175000,Charade,300000,Karachi,Cash,1988
Toyota,Used,Petrol,90000,Corolla XLI,1070000,Karachi,Cash,2009
Honda,Used,Petrol,50000,Civic EXi,790000,Karachi,Cash,2004
Nissan,Used,Petrol,38000,Roox,850000,Karachi,Cash,2013
Daihatsu,New,Petrol,1,Hijet,840000,,Cash,2011
,,,,,525000,,,
Suzuki,Used,Hybrid,1000000,Alto,375000,Karachi,Cash,2004
Suzuki,Used,CNG,116000,Liana,530000,Karachi,Cash,2006
Suzuki,Used,Hybrid,1,Khyber,210000,Karachi,Cash,1994
Daihatsu,New,Petrol,69000,Atrai Wagon,1125000,Karachi,Cash,2014
Suzuki,Used,Petrol,80000,Khyber,250000,Karachi,Cash,1997
Toyota,Used,Petrol,67089,Corolla GLI,1500000,Karachi,Cash,2013
Honda,Used,CNG,110000,City IDSI,530000,Karachi,Cash,2000
Honda,New,Petrol,65000,Civic VTi Oriel Prosmatec,1350000,Karachi,Cash,2010
Toyota,New,Petrol,77000,Prado,7650000,Karachi,Cash,2013
Suzuki,Used,CNG,10000000,FX,135000,Karachi,Cash,1985
Honda,New,Petrol,50000,Civic Prosmetic,850000,Karachi,Cash,2005
Daihatsu,Used,CNG,90000,Cuore,425000,,Cash,2001
,,,,,450000,,,
Suzuki,Used,Hybrid,75000,Cultus VXR,480000,Karachi,Cash,2003
Honda,New,Hybrid,53000,Fit,1725000,Karachi,Cash,2014
Suzuki,New,Hybrid,75000,Alto,560000,Karachi,Cash,2010
Mitsubishi,Used,Petrol,10000,Pajero Mini,450000,Karachi,Cash,2006
Suzuki,Used,Petrol,72000,Swift,910000,Karachi,Cash,2010
Daihatsu,Used,CNG,658943,Charade,230000,Karachi,Cash,1986
Honda,Used,CNG,300000,Civic EXi,140000,Karachi,Cash,1989
Suzuki,Used,CNG,75000,Bolan,450000,Karachi,Cash,2006
Mercedes,New,Petrol,12,C Class,950000,Karachi,Cash,1995
Suzuki,Used,CNG,100000,Cultus VXL,470000,Karachi,Cash,2001
Honda,Used,Petrol,40000,City IVTEC,1675000,Karachi,Cash,2016
Honda,New,Hybrid,76000,Vezel,2850000,Karachi,Cash,2015
Suzuki,Used,CNG,83000,Cultus VXL,565000,Karachi,Cash,2006
Suzuki,Used,Petrol,111111,Baleno,475000,Karachi,Cash,2002
Suzuki,Used,CNG,500000,Cultus VX,430000,Karachi,Cash,2003
Nissan,Used,Petrol,35000,Dayz,1260000,Karachi,Cash,2015
Suzuki,Used,Petrol,10000,Other,450000,Karachi,Cash,2004
Toyota,New,Petrol,48000,Vitz,1750000,Karachi,Cash,2015
Mercedes,Used,Petrol,80000,Other,2700000,Karachi,Cash,2008
Suzuki,Used,CNG,60000,Khyber,290000,Karachi,Cash,1999
Mitsubishi,Used,Petrol,38000,L300,240000,Karachi,Installment/Leasing,2004
Daihatsu,New,Petrol,5,Mira,250000,Karachi,Installment/Leasing,2018
KIA,Used,CNG,1,Classic,170000,Karachi,Cash,1991
Toyota,New,Hybrid,34000,Aqua,2050000,Karachi,Cash,2016
Toyota,New,Petrol,48000,Vitz,1750000,Karachi,Cash,2015
Mercedes,Used,Petrol,80000,Other,2700000,Karachi,Cash,2008
Suzuki,Used,CNG,60000,Khyber,290000,Karachi,Cash,1999
Mitsubishi,Used,Petrol,38000,L300,240000,Karachi,Installment/Leasing,2004
Daihatsu,New,Petrol,5,Mira,250000,Karachi,Installment/Leasing,2018
KIA,Used,CNG,1,Classic,170000,Karachi,Cash,1991
Toyota,New,Hybrid,34000,Aqua,2050000,Karachi,Cash,2016
Suzuki,Used,CNG,62000,Cultus VXL,455000,Karachi,Cash,2003
Suzuki,Used,CNG,120000,Cultus VXL,550000,Karachi,Cash,2007
Daihatsu,Used,Petrol,40800,Mira,1075000,,Cash,2011
Daihatsu,Used,CNG,10,Charade,220000,Karachi,Cash,1986
Honda,Used,Petrol,140000,Accord,1150000,Karachi,Cash,2004
Suzuki,Used,Petrol,56000,Bolan,680000,Karachi,Cash,2015
Suzuki,Used,CNG,52000,Alto,570000,Karachi,Cash,2012
Suzuki,Used,Petrol,11,Cultus VXR,470000,Karachi,Cash,2006
Honda,New,Petrol,82000,Civic Prosmetic,1030000,Karachi,Cash,2007
Honda,Used,CNG,100000,City IDSI,745000,Karachi,Cash,2007
Daihatsu,Used,Petrol,1,Atrai Wagon,200000,Karachi,Cash,1986
Suzuki,Used,CNG,70000,Cultus VXR,500000,Karachi,Cash,2007
Other Brands,Used,,109791,,580000,,,2010
Toyota,New,Petrol,3500,Corrolla Altis,2625000,Karachi,Cash,2018
,,,,,510000,,,
Toyota,Used,Petrol,105000,Land Cruiser,2300000,Karachi,Cash,1992
Daihatsu,Used,Petrol,94000,Sonica,750000,Karachi,Cash,2008
Other Brands,Used,Hybrid,50000,Other,210000,Karachi,Cash,2006
Suzuki,Used,CNG,924500,Margalla,375000,Karachi,Cash,1996
Suzuki,Used,Petrol,123456,Alto,395000,Karachi,Cash,2001
Suzuki,Used,CNG,2000,Other,250000,Karachi,Cash,1992
Suzuki,New,CNG,100000,Cultus VXR,730000,Karachi,Cash,2011
Suzuki,Used,CNG,15000,Alto,385000,Karachi,Cash,2005
Daihatsu,Used,CNG,160000,Cuore,490000,Karachi,Cash,2003
Suzuki,Used,CNG,102000,Cultus VXR,525000,Karachi,Cash,2005
Suzuki,Used,CNG,100000,Khyber,220000,Karachi,Cash,1993
Nissan,Used,Petrol,51000,Sunny,550000,Karachi,Cash,2003
Honda,Used,Petrol,64000,Civic VTi Oriel Prosmatec,2150000,Karachi,Cash,2015
Toyota,Used,Hybrid,40000,Aqua,2150000,,Cash,2015
Suzuki,Used,CNG,100000,Mehran VXR,220000,Karachi,Cash,1996
Honda,Used,Petrol,78000,City IVTEC,1130000,Karachi,Cash,2010
,,,,,140000,,,
Suzuki,Used,CNG,5,Cultus VXL,610000,Karachi,Cash,2007
Honda,Used,Petrol,54650,City IVTEC,1250000,Karachi,Cash,2012
Toyota,Used,CNG,123456,Corrolla Altis,650000,Karachi,Cash,2002
,,,,,280000,,,
Suzuki,Used,CNG,50000,Alto,590000,Karachi,Cash,2012
Suzuki,New,CNG,50000,Khyber,165000,Karachi,Cash,1988
Suzuki,Used,CNG,106000,Alto,500000,Karachi,Cash,2010
Toyota,Used,Petrol,10130,Vitz,1065000,Karachi,Cash,2009
Suzuki,New,CNG,41288,Cultus VXR,230000,Karachi,Cash,1994
Honda,Used,CNG,135335,Other,620000,Karachi,Cash,2002
Suzuki,Used,CNG,76000,Cultus VXR,620000,Karachi,Cash,2009
Suzuki,Used,Petrol,95000,Liana,475000,Karachi,Cash,2007
Suzuki,Used,Petrol,165000,Every Wagon,1040000,Karachi,Cash,2011
Suzuki,Used,Petrol,80000,FX,60000,Karachi,Cash,1988
Daihatsu,New,Petrol,128000,Hijet,930000,,Cash,2013
Suzuki,Used,CNG,1,Cultus VXR,800000,Karachi,Cash,2013
Toyota,Used,Petrol,117000,Vitz,820000,Karachi,Cash,2010
Suzuki,Used,CNG,10,FX,110000,Karachi,Cash,1987
Suzuki,Used,CNG,100000,Margalla,220000,Karachi,Cash,1990
,,,,,560000,,,
Toyota,Used,Petrol,5000,Rush,2600000,Karachi,Cash,2012
Mazda,Used,Petrol,13700,RX8,1350000,,Cash,2006
Suzuki,Used,Petrol,28000,Bolan,740000,,Cash,2017
Mazda,Used,Petrol,14900,Carol,1100000,Karachi,Cash,2014
Honda,Used,Petrol,85000,Civic Prosmetic,1700000,Karachi,Cash,2013
Daihatsu,New,Petrol,95000,Hijet,800000,Karachi,Cash,2011
Nissan,Used,CNG,100000,Sunny,200000,Karachi,Cash,1986
Suzuki,Used,CNG,150000,Cultus VXR,365000,Karachi,Cash,2000
Honda,Used,CNG,100000,Civic EXi,180000,Karachi,Cash,1986
Toyota,Used,Hybrid,120205,Prius Alpha,2500000,Karachi,Cash,2013
Toyota,Used,Hybrid,78000,Aqua,1685000,Karachi,Cash,2013
KIA,Used,Petrol,50000,Other,400000,Karachi,Installment/Leasing,2017
Suzuki,Used,,48429,,630000,,,2014
Daihatsu,Used,Petrol,178000,Cuore,475000,Karachi,Cash,2007
Suzuki,Used,Petrol,62000,Alto,575000,Karachi,Cash,2008
Suzuki,New,Petrol,30250,Alto,1150000,Karachi,Cash,2014
Suzuki,Used,CNG,78487,Alto,550000,Karachi,Cash,2010
Toyota,Used,Hybrid,76000,Aqua,1625000,,Cash,2013
Honda,Used,CNG,100000,City IDSI,500000,Karachi,Cash,2002
Daihatsu,New,Petrol,5,Mira,200000,Karachi,Installment/Leasing,2018
Suzuki,Used,Petrol,30000,Cultus VXR,1070000,Karachi,Cash,2016
Suzuki,Used,Petrol,81000,Liana,700000,Karachi,Cash,2009
KIA,Used,Petrol,125000,Sportage,250000,Karachi,Installment/Leasing,2003
Suzuki,Used,Petrol,43000,Alto,635000,Karachi,Cash,2011
Daihatsu,Used,Hybrid,100000,Atrai Wagon,620000,Karachi,Cash,2007
,,,,,130000,,,
Suzuki,Used,CNG,100000,Bolan,315000,Karachi,Cash,1993
Nissan,Used,Petrol,1,Wingroad,900000,,Cash,2007
Suzuki,Used,Petrol,1,Mehran VXR,420000,,Cash,2007
,,,,,500000,,,
Mitsubishi,New,Petrol,65000,EK Space Custom,1195000,,Cash,2015
,,,,,200000,,,
Mitsubishi,Used,CNG,100000,Lancer,160000,Karachi,Cash,1988
KIA,Used,Petrol,12345,Spectra,330000,Karachi,Cash,2003
Daihatsu,New,Petrol,102000,Hijet,870000,Karachi,Cash,2014
Suzuki,New,Petrol,1,Cultus VXR,1340000,Karachi,Cash,2018
Suzuki,New,Petrol,10,Mehran VXR,250000,Karachi,Installment/Leasing,2018
Suzuki,Used,Petrol,40000,Cultus VXR,1000000,Karachi,Cash,2015
Suzuki,Used,Hybrid,45,Cultus VXL,450000,Karachi,Cash,2004
Suzuki,Used,CNG,87000,Swift,900000,Karachi,Cash,2012
Honda,Used,CNG,10000,Civic EXi,155000,Karachi,Cash,1985
Suzuki,Used,Petrol,20000,Liana,200000,Karachi,Installment/Leasing,2006
,,,,,300000,,,
Honda,Used,Petrol,123456,S660,290000,Karachi,Cash,1992
Suzuki,Used,CNG,10,Mehran VXR,132000,Karachi,Cash,1991
,,,,,1045000,,,
Suzuki,Used,CNG,2,Mehran VX,180000,Karachi,Cash,1995
Toyota,Used,Petrol,36000,Passo,1490000,Karachi,Cash,2017
,,,,,75000,,,
KIA,Used,Petrol,125000,Sportage,200000,Karachi,Installment/Leasing,2003
Honda,Used,Petrol,72000,Civic VTi Oriel,925000,Karachi,Cash,2005
Toyota,Used,Petrol,1,Other,835000,Karachi,Cash,2006
Suzuki,Used,CNG,10000,Alto,470000,Karachi,Cash,2008
Daihatsu,Used,Petrol,18000,Mira,1240000,,Cash,2015
Suzuki,Used,CNG,15000,Cultus VXL,500000,Karachi,Cash,2002
,,,,,145000,,,
,,,,,415000,,,
,,,,,1825000,,,
Daihatsu,New,Petrol,36000,Mira,1390000,,Cash,2015
Hyundai,Used,Petrol,100,Santro,315000,Karachi,Cash,2004
Suzuki,Used,Petrol,100,Alto,395000,Karachi,Cash,2005
Honda,Used,Petrol,50000,City IVTEC,1630000,Karachi,Cash,2016
Toyota,Used,Petrol,9500,Corolla GLI,2050000,Karachi,Cash,2017
Honda,New,Petrol,87000,Civic VTi Oriel Prosmatec,1100000,Karachi,Cash,2006
Toyota,Used,Hybrid,86000,Corolla Axio,2250000,,Cash,2014
Daihatsu,Used,CNG,109903,Cuore,460000,Karachi,Cash,2006
Suzuki,Used,CNG,786000,FX,115000,Karachi,Cash,1987
Honda,Used,Petrol,94000,Civic Prosmetic,820000,Karachi,Cash,2003
Toyota,Used,Petrol,188861,Corolla XE,900000,Karachi,Cash,2003
Suzuki,Used,Petrol,61500,Cultus VXR,650000,Karachi,Cash,2010
Toyota,Used,Petrol,1234567,Corolla XLI,1165000,Karachi,Cash,2010
Suzuki,New,Petrol,10000,Bolan,700000,Karachi,Cash,2015
Suzuki,Used,Petrol,30000,Other,1130000,Karachi,Cash,2015
Daihatsu,Used,Petrol,78000,Move,1175000,Karachi,Cash,2013
Toyota,Used,CNG,20,86,280000,Karachi,Cash,1986
,,,,,2175000,,,
Suzuki,Used,CNG,13000,FX,120000,Karachi,Cash,1987
Toyota,New,Petrol,33000,Corolla GLI,1900000,Karachi,Cash,2016
Suzuki,Used,Petrol,62000,Wagon R,1170000,Karachi,Cash,2016
Mazda,Used,Petrol,21000,RX8,310000,Karachi,Installment/Leasing,2012
Honda,Used,Petrol,97000,City Vario,750000,Karachi,Cash,2004
,,,,,250000,,,
Suzuki,Used,CNG,2222222,FX,120000,Karachi,Cash,1986
Nissan,Used,Petrol,32000,Dayz,1270000,,Cash,2015
Honda,New,Petrol,1,Vezel,600000,Karachi,Installment/Leasing,2015
Toyota,Used,CNG,136000,Corrolla Altis,800000,Karachi,Cash,2003
KIA,Used,CNG,82000,Spectra,350000,Karachi,Cash,2001
Daihatsu,Used,Petrol,73000,Boon,855000,Karachi,Cash,2008
,,,,,75000,,,
,,,,,371000,,,
Suzuki,Used,CNG,75000,Margalla,230000,Karachi,Cash,1994
Nissan,Used,Petrol,180,AD Van,550000,Karachi,Cash,2009
,,,,,740000,,,
Suzuki,Used,CNG,2004,Baleno,460000,Karachi,Cash,2004
Suzuki,Used,Petrol,10000,Mehran VXR,800000,Karachi,Cash,2018
Toyota,Used,Petrol,143131,Vitz,845000,Karachi,Cash,2006
Suzuki,Used,CNG,200000,Margalla,245000,Karachi,Cash,1994
Suzuki,New,,,,680000,,,
,,,,,200000,,,
Toyota,Used,Petrol,70000,Vitz,1050000,Karachi,Cash,2009
,,,,,310000,,,
Suzuki,Used,CNG,100,Khyber,185000,Karachi,Cash,1991
Toyota,Used,Petrol,50000,Vitz,1085000,Karachi,Cash,2010
Suzuki,Used,Petrol,90000,Bolan,630000,Karachi,Cash,2015
Nissan,New,Petrol,1,Dayz,290000,Karachi,Installment/Leasing,2018
Toyota,Used,Petrol,49000,Pixis Epoch,1050000,,Cash,2013
Suzuki,Used,Petrol,1,Alto,350000,,Cash,2003
Suzuki,Used,CNG,1,Liana,525000,,Cash,2008
Honda,Used,Petrol,182000,Civic EXi,720000,Karachi,Cash,2004
Nissan,New,Petrol,77000,Clipper,785000,,Cash,2013
,,,,,200000,,,
Honda,Used,Petrol,37000,City Aspire,1740000,Karachi,Cash,2015
